size_fact_key,project_key,person_key,team_key,wbs_element_key,plan_item_key,size_added_and_modified,size_added,size_base,size_deleted,size_modified,size_reused,size_total,measurement_type_key,measurement_type_name,size_metric_key,size_metric_name,size_metric_short_name,phase_key,phase_short_name,process_key,process_name,row_current_flag
25369,96,290,31,39417,221000,25,6,19,0,19,0,25,1,Plan,62,Lines of Code,LOC,\N,\N,\N,\N,1
25370,96,290,31,39418,220990,5,0,0,0,0,0,0,1,Plan,62,Lines of Code,LOC,323,Code,11,Capsule,1
25371,96,290,31,9983,74824,728,717,501,0,11,0,1218,4,Actual,62,Lines of Code,LOC,\N,\N,\N,\N,1
25372,96,290,31,9983,74824,430,400,440,0,30,0,840,1,Plan,62,Lines of Code,LOC,\N,\N,\N,\N,1
25373,96,290,31,39420,74799,2563,2558,15678,0,5,0,18236,4,Actual,62,Lines of Code,LOC,\N,\N,\N,\N,1
25374,96,290,31,39420,74799,91.8499984741211,84.849998474,1642,0,7,0,1726.8499756,1,Plan,62,Lines of Code,LOC,\N,\N,\N,\N,1
25375,96,290,31,9994,74985,5,0,0,0,0,0,0,4,Actual,58,Text Pages,Text Pages,322,Design Inspect,11,Capsule,1
25376,96,290,31,9994,74985,5,0,0,0,0,0,0,1,Plan,58,Text Pages,Text Pages,322,Design Inspect,11,Capsule,1
25379,96,290,31,10101,74365,78,61,2773,1,17,0,2833,4,Actual,62,Lines of Code,LOC,\N,\N,\N,\N,1
25380,96,797,31,39399,221175,106,97,362,10,9,0,449,4,Actual,62,Lines of Code,LOC,\N,\N,\N,\N,1
25381,96,797,31,39399,221175,75,70,362,5,5,0,427,1,Plan,62,Lines of Code,LOC,\N,\N,\N,\N,1
25382,96,292,31,9993,74950,0,0,1604,0,0,0,0,4,Actual,62,Lines of Code,LOC,\N,\N,\N,\N,1
25383,96,292,31,9993,74950,500,500,0,0,0,0,500,1,Plan,62,Lines of Code,LOC,\N,\N,\N,\N,1
25384,96,292,31,9994,74976,0,0,176,4,20,2000,0,4,Actual,62,Lines of Code,LOC,\N,\N,\N,\N,1
25385,96,292,31,9994,74976,44,44,0,0,0,0,44,1,Plan,62,Lines of Code,LOC,\N,\N,\N,\N,1
25386,96,292,31,9995,74963,0,0,800,0,0,0,0,4,Actual,62,Lines of Code,LOC,\N,\N,\N,\N,1
25387,96,292,31,9995,74963,707,707,0,0,0,0,707,1,Plan,62,Lines of Code,LOC,\N,\N,\N,\N,1
25388,96,292,31,39435,221045,226.39999389648438,226.3999939,0,0,0,0,226.3999939,1,Plan,62,Lines of Code,LOC,\N,\N,\N,\N,1
25389,96,800,31,39380,220908,6,4,1072,3,2,0,1073,4,Actual,62,Lines of Code,LOC,\N,\N,\N,\N,1
25390,96,800,31,39380,220908,70,50,1072,1,20,0,1121,1,Plan,62,Lines of Code,LOC,\N,\N,\N,\N,1
25391,96,800,31,39388,220894,22,2,3559,2,20,0,3559,4,Actual,62,Lines of Code,LOC,\N,\N,\N,\N,1
25392,96,800,31,39388,220894,7,7,0,0,0,0,7,1,Plan,62,Lines of Code,LOC,\N,\N,\N,\N,1
25393,96,800,31,39397,221149,1,0,3348,0,1,0,3348,4,Actual,62,Lines of Code,LOC,\N,\N,\N,\N,1
25394,96,800,31,39397,221149,1,0,3348,0,1,0,3348,1,Plan,62,Lines of Code,LOC,\N,\N,\N,\N,1
25395,96,800,31,39415,221013,135,116,5259,0,19,0,5375,4,Actual,62,Lines of Code,LOC,\N,\N,\N,\N,1
25396,96,800,31,39415,221013,262,172,8201,20,90,0,8353,1,Plan,62,Lines of Code,LOC,\N,\N,\N,\N,1
25397,96,800,31,39426,220939,10,0,0,0,0,0,0,1,Plan,60,HLD Pages,HLD Pages,\N,\N,\N,\N,1
25398,96,800,31,39427,220957,663,663,0,0,0,0,663,4,Actual,62,Lines of Code,LOC,\N,\N,\N,\N,1
25399,96,800,31,39427,220957,400,380,566,0,20,0,946,1,Plan,62,Lines of Code,LOC,\N,\N,\N,\N,1
25400,96,293,31,39376,221860,11,0,0,0,0,0,0,1,Plan,57,Hours,Hours,\N,\N,\N,\N,1
25401,96,293,31,39376,221870,11.199999809265137,0,0,0,0,0,0,1,Plan,57,Hours,Hours,\N,\N,\N,\N,1
25402,96,293,31,39412,221881,11,0,0,0,0,0,0,1,Plan,57,Hours,Hours,\N,\N,\N,\N,1
25410,96,294,31,9946,74811,12,0,0,0,0,0,0,1,Plan,57,Hours,Hours,\N,\N,\N,\N,1
25411,96,294,31,39392,220806,11.199999809265137,0,0,0,0,0,0,1,Plan,57,Hours,Hours,\N,\N,\N,\N,1
25412,96,294,31,39394,74594,2,0,0,0,0,0,0,1,Plan,57,Hours,Hours,\N,\N,\N,\N,1
25413,96,294,31,39422,220926,1987,925,4257,962,1062,0,4220,4,Actual,62,Lines of Code,LOC,\N,\N,\N,\N,1
25414,96,294,31,39422,220926,80,60,1916,387,20,0,1589,1,Plan,62,Lines of Code,LOC,\N,\N,\N,\N,1
25415,96,294,31,39423,220921,0.10000000149011612,0,0,0,0,0,0,1,Plan,57,Hours,Hours,\N,\N,\N,\N,1
25416,96,294,31,39433,221038,15,0,0,0,0,0,0,1,Plan,57,Hours,Hours,\N,\N,\N,\N,1
25419,105,278,31,39767,222365,4,0,0,0,0,0,0,1,Plan,58,Text Pages,Text Pages,\N,\N,\N,\N,1
25420,105,304,31,39744,78386,2854,2854,0,0,0,0,2854,4,Actual,62,Lines of Code,LOC,\N,\N,\N,\N,1
25421,105,304,31,39744,78386,238,238,1101,0,0,0,1339,1,Plan,62,Lines of Code,LOC,\N,\N,\N,\N,1
25422,105,304,31,39745,222837,706,706,2854,0,0,4596,8156,1,Plan,62,Lines of Code,LOC,\N,\N,\N,\N,1
25423,105,304,31,39746,222805,400,400,0,0,0,0,400,1,Plan,62,Lines of Code,LOC,\N,\N,\N,\N,1
25424,105,304,31,39747,222793,400,400,0,0,0,0,400,1,Plan,62,Lines of Code,LOC,\N,\N,\N,\N,1
25425,105,304,31,39769,222384,6560,4850,8467,130,1710,0,13187,1,Plan,62,Lines of Code,LOC,\N,\N,\N,\N,1
25426,103,286,31,39794,222853,19,0,0,0,0,0,0,1,Plan,58,Text Pages,Text Pages,\N,\N,\N,\N,1
25427,103,286,31,10652,222952,4,4,0,0,0,0,4,1,Plan,62,Lines of Code,LOC,\N,\N,\N,\N,1
25428,103,286,31,10652,222965,3,3,0,0,0,0,3,1,Plan,62,Lines of Code,LOC,\N,\N,\N,\N,1
25429,103,286,31,10652,222975,4,4,0,0,0,0,4,1,Plan,62,Lines of Code,LOC,\N,\N,\N,\N,1
