size_fact_key,project_key,person_key,team_key,wbs_element_key,plan_item_key,size_added_and_modified,size_added,size_base,size_deleted,size_modified,size_reused,size_total,measurement_type_key,measurement_type_name,size_metric_key,size_metric_name,size_metric_short_name,phase_key,phase_short_name,process_key,process_name,row_current_flag
25548,246,827,84,39797,223040,750,0,24000,5000,1000,0,18750,1,Plan,5,Lines of Code,LOC,\N,\N,\N,\N,1
28524,246,827,84,39797,223040,8362,8232,10562,8370,130,0,10424,4,Actual,5,Lines of Code,LOC,\N,\N,\N,\N,1
25534,246,826,84,39802,223052,79,50,240,2,29,0,288,4,Actual,5,Lines of Code,LOC,\N,\N,\N,\N,1
25535,246,826,84,39802,223052,30,20,181,0,10,0,201,1,Plan,5,Lines of Code,LOC,\N,\N,\N,\N,1
25447,246,821,84,39863,223064,591,501,6580,286,90,0,6580,4,Actual,5,Lines of Code,LOC,\N,\N,\N,\N,1
25448,246,821,84,39863,223064,165,164,6950,60,1,0,7054,1,Plan,5,Lines of Code,LOC,\N,\N,\N,\N,1
25483,246,823,84,39873,223076,150,50,100,0,100,0,150,1,Plan,5,Lines of Code,LOC,\N,\N,\N,\N,1
28447,246,823,84,39873,223076,570,468,571,195,102,0,844,4,Actual,5,Lines of Code,LOC,\N,\N,\N,\N,1
25522,246,825,84,39860,223088,139,109,624,15,30,0,718,4,Actual,5,Lines of Code,LOC,\N,\N,\N,\N,1
25523,246,825,84,39860,223088,60,5,442,10,55,0,437,1,Plan,5,Lines of Code,LOC,\N,\N,\N,\N,1
25477,246,823,84,39825,223100,60,60,200,0,0,0,260,1,Plan,5,Lines of Code,LOC,\N,\N,\N,\N,1
28441,246,823,84,39825,223100,220,200,479,31,20,0,648,4,Actual,5,Lines of Code,LOC,\N,\N,\N,\N,1
25513,246,825,84,39834,223112,35,0,406,0,35,0,406,1,Plan,5,Lines of Code,LOC,\N,\N,\N,\N,1
28474,246,825,84,39834,223112,681,647,253,4,34,0,896,4,Actual,5,Lines of Code,LOC,\N,\N,\N,\N,1
25495,246,824,84,39837,223124,289,284,996,1,5,0,1279,4,Actual,5,Lines of Code,LOC,\N,\N,\N,\N,1
25496,246,824,84,39837,223124,80,50,996,5,60,0,996,1,Plan,5,Lines of Code,LOC,\N,\N,\N,\N,1
28479,246,825,84,39840,223136,830,784,304,23,46,0,1065,4,Actual,5,Lines of Code,LOC,\N,\N,\N,\N,1
28480,246,825,84,39840,223136,30,300,155,0,48,0,137,1,Plan,5,Lines of Code,LOC,\N,\N,\N,\N,1
25480,246,823,84,39829,223148,150,50,100,0,100,0,150,1,Plan,5,Lines of Code,LOC,\N,\N,\N,\N,1
